Number_of_Animals,YEAR,MONTH,OutcomeType,OutcomeSubtype,OBJECTID
24,2005,5,EUTH,BEHAV HIST,66
15,2005,5,EUTH,BEHAV OBSV,67
113,2005,5,EUTH,BREED,68
60,2005,5,EUTH,FERAL,69
135,2005,5,EUTH,MEDICAL,70
176,2005,5,EUTH,SPACE,71
8,2005,5,EUTH,TIME,72
8,2005,5,EUTH,TIME/SPACE,73
13,2005,5,EUTH,TOO OLD,74
4,2005,5,EUTH,TOO YOUNG,75
1,2005,5,LOST EXP,,76
1,2005,5,MISSING,,77
12,2005,5,RELOCATE,,78
90,2005,5,RTO,,79
1,2005,5,TRANSFER,,80
1,2005,5,TRANSFER,AN CONTROL,81
35,2005,6,ADOPTION,,82
1,2005,6,ADOPTION,REFERRAL,83
31,2005,6,ADOPTION,RESCUE GRP,84
1,2005,6,ADOPTION,WALK IN,85
1,2005,6,DIED,,86
3,2005,6,DIED,ENROUTE,87
9,2005,6,DIED,IN KENNEL,88
14,2005,6,EUTH,,89
22,2005,6,EUTH,BEHAV HIST,90
21,2005,6,EUTH,BEHAV OBSV,91
116,2005,6,EUTH,BREED,92
1,2005,6,EUTH,CONTAG DIS,93
125,2005,6,EUTH,FERAL,94
120,2005,6,EUTH,MEDICAL,95
182,2005,6,EUTH,SPACE,96
2,2005,6,EUTH,TIME,97
8,2005,6,EUTH,TIME/SPACE,98
11,2005,6,EUTH,TOO OLD,99
14,2005,6,EUTH,TOO YOUNG,100
1,2005,6,MISSING,,101
35,2005,6,RELOCATE,,102
83,2005,6,RTO,,103
6,2005,6,TRANSFER,,104
2,2005,7,,,105
1,2005,7,,RESCUE GRP,106
34,2005,7,ADOPTION,,107
1,2005,7,ADOPTION,FRIEND,108
1,2005,7,ADOPTION,RESCUE GRP,109
9,2005,7,DIED,,110
1,2005,7,DIED,ENROUTE,111
11,2005,7,DIED,IN KENNEL,112
33,2005,7,EUTH,,113
20,2005,7,EUTH,BEHAV HIST,114
22,2005,7,EUTH,BEHAV OBSV,115
87,2005,7,EUTH,BREED,116
2,2005,7,EUTH,CONTAG DIS,117
21,2005,7,EUTH,FERAL,118
1,2005,7,EUTH,HEARTWORM,119
86,2005,7,EUTH,MEDICAL,120
204,2005,7,EUTH,SPACE,121
128,2005,7,EUTH,TIME,122
123,2005,7,EUTH,TIME/SPACE,123
14,2005,7,EUTH,TOO OLD,124
11,2005,7,EUTH,TOO YOUNG,125
1,2005,7,LOST EXP,,126
1,2005,7,MISSING,,127
2,2005,7,MISSING,IN KENNEL,128
24,2005,7,RELOCATE,,129
106,2005,7,RTO,,130
4,2005,7,TRANSFER,,131
21,2005,7,TRANSFER,RESCUE GRP,132
2,2005,7,TRANSFER,SPCA,133
1,2005,7,TRANSFER,WILDLIFE,134
40,2005,8,ADOPTION,,135
1,2005,8,ADOPTION,RESCUE GRP,136
2,2005,8,DIED,ENROUTE,137
9,2005,8,DIED,IN KENNEL,138
10,2005,8,EUTH,BEHAV HIST,139
35,2005,8,EUTH,BEHAV OBSV,140
128,2005,8,EUTH,BREED,141
1,2005,8,EUTH,CONTAG DIS,142
22,2005,8,EUTH,FERAL,143
99,2005,8,EUTH,MEDICAL,144
1,2005,8,EUTH,PREGNANT,145
10,2005,8,EUTH,REQUESTED,146
48,2005,8,EUTH,SPACE,147
122,2005,8,EUTH,TIME,148
316,2005,8,EUTH,TIME/SPACE,149
5,2005,8,EUTH,TOO OLD,150
12,2005,8,EUTH,TOO YOUNG,151
1,2005,8,LOST EXP,,152
3,2005,8,MISSING,IN KENNEL,153
1,2005,8,RELOCATE,,154
118,2005,8,RTO,,155
2,2005,8,TRANSFER,,156
1,2005,8,TRANSFER,AN CONTROL,157
35,2005,8,TRANSFER,RESCUE GRP,158
2,2005,8,TRANSFER,SPCA,159
46,2005,9,ADOPTION,,160
1,2005,9,DIED,,161
1,2005,9,DIED,AT VET,162
5,2005,9,DIED,ENROUTE,163
12,2005,9,DIED,IN KENNEL,164
1,2005,9,EUTH,,165
25,2005,9,EUTH,BEHAV HIST,166
40,2005,9,EUTH,BEHAV OBSV,167
112,2005,9,EUTH,BREED,168
1,2005,9,EUTH,CONTAG DIS,169
179,2005,9,EUTH,MEDICAL,170
15,2005,9,EUTH,REQUESTED,171
364,2005,9,EUTH,TIME/SPACE,172
4,2005,9,EUTH,TOO OLD,173
6,2005,9,EUTH,TOO YOUNG,174
2,2005,9,RELOCATE,,175
78,2005,9,RTO,,176
1,2005,9,TRANSFER,,177
1,2005,9,TRANSFER,AN CONTROL,178
4,2005,9,TRANSFER,KHS,179
52,2005,9,TRANSFER,RESCUE GRP,180
41,2005,10,ADOPTION,,181
2,2005,10,DIED,ENROUTE,182
10,2005,10,DIED,IN KENNEL,183
1,2005,10,EUTH,,184
23,2005,10,EUTH,BEHAV HIST,185
58,2005,10,EUTH,BEHAV OBSV,186
74,2005,10,EUTH,BREED,187
108,2005,10,EUTH,MEDICAL,188
15,2005,10,EUTH,REQUESTED,189
406,2005,10,EUTH,TIME/SPACE,190
14,2005,10,EUTH,TOO OLD,191
4,2005,10,EUTH,TOO YOUNG,192
4,2005,10,MISSING,IN KENNEL,193
1,2005,10,RELOCATE,,194
78,2005,10,RTO,,195
1,2005,10,TRANSFER,,196
1,2005,10,TRANSFER,AN CONTROL,197
1,2005,10,TRANSFER,KHS,198
27,2005,10,TRANSFER,RESCUE GRP,199
62,2005,11,ADOPTION,,200
2,2005,11,DIED,,201
2,2005,11,DIED,AT VET,202
5,2005,11,DIED,ENROUTE,203
16,2005,11,DIED,IN KENNEL,204
9,2005,11,EUTH,,205
16,2005,11,EUTH,BEHAV HIST,206
87,2005,11,EUTH,BEHAV OBSV,207
96,2005,11,EUTH,BREED,208
9,2005,11,EUTH,FERAL,209
1,2005,11,EUTH,HEARTWORM,210
102,2005,11,EUTH,MEDICAL,211
13,2005,11,EUTH,REQUESTED,212
220,2005,11,EUTH,TIME/SPACE,213
17,2005,11,EUTH,TOO OLD,214
3,2005,11,EUTH,TOO YOUNG,215
6,2005,11,MISSING,,216
2,2005,11,MISSING,IN KENNEL,217
2,2005,11,RELOCATE,,218
82,2005,11,RTO,,219
1,2005,11,TRANSFER,AN CONTROL,220
59,2005,11,TRANSFER,RESCUE GRP,221
47,2005,12,ADOPTION,,222
1,2005,12,DIED,,223
1,2005,12,DIED,AT VET,224
1,2005,12,DIED,ENROUTE,225
14,2005,12,DIED,IN KENNEL,226
15,2005,12,EUTH,,227
13,2005,12,EUTH,BEHAV HIST,228
75,2005,12,EUTH,BEHAV OBSV,229
177,2005,12,EUTH,BREED,230
6,2005,12,EUTH,FERAL,231
139,2005,12,EUTH,MEDICAL,232
38,2005,12,EUTH,REQUESTED,233
89,2005,12,EUTH,TIME/SPACE,234
14,2005,12,EUTH,TOO OLD,235
4,2005,12,EUTH,TOO YOUNG,236
9,2005,12,MISSING,,237
102,2005,12,RTO,,238
2,2005,12,TRANSFER,,239
3,2005,12,TRANSFER,KHS,240
67,2005,12,TRANSFER,RESCUE GRP,241
1,2005,12,TRANSFER,WILDLIFE,242
58,2006,1,ADOPTION,,243
1,2006,1,DIED,AT VET,244
18,2006,1,DIED,IN KENNEL,245
8,2006,1,EUTH,,246
19,2006,1,EUTH,BEHAV HIST,247
81,2006,1,EUTH,BEHAV OBSV,248
152,2006,1,EUTH,BREED,249
15,2006,1,EUTH,FERAL,250
136,2006,1,EUTH,MEDICAL,251
30,2006,1,EUTH,REQUESTED,252
134,2006,1,EUTH,TIME/SPACE,253
4,2006,1,EUTH,TOO OLD,254
2,2006,1,EUTH,TOO YOUNG,255
5,2006,1,MISSING,,256
4,2006,1,RELOCATE,,257
85,2006,1,RTO,,258
4,2006,1,TRANSFER,,259
5,2006,1,TRANSFER,KHS,260
105,2006,1,TRANSFER,RESCUE GRP,261
61,2006,2,ADOPTION,,262
1,2006,2,ADOPTION,FRIEND,263
2,2006,2,DIED,,264
15,2006,2,DIED,IN KENNEL,265
26,2006,2,EUTH,,266
6,2006,2,EUTH,BEHAV HIST,267
136,2006,2,EUTH,BEHAV OBSV,268
64,2006,2,EUTH,BREED,269
10,2006,2,EUTH,FERAL,270
156,2006,2,EUTH,MEDICAL,271
29,2006,2,EUTH,REQUESTED,272
28,2006,2,EUTH,TIME/SPACE,273
8,2006,2,EUTH,TOO OLD,274
1,2006,2,EUTH,TOO YOUNG,275
5,2006,2,MISSING,,276
19,2006,2,MISSING,IN KENNEL,277
2,2006,2,RELOCATE,,278
89,2006,2,RTO,,279
5,2006,2,TRANSFER,,280
1,2006,2,TRANSFER,AN CONTROL,281
1,2006,2,TRANSFER,KHS,282
89,2006,2,TRANSFER,RESCUE GRP,283
1,2006,3,,TIME/SPACE,284
51,2006,3,ADOPTION,,285
1,2006,3,ADOPTION,FRIEND,286
4,2006,3,ADOPTION,WALK IN,287
1,2006,3,DIED,,288
7,2006,3,DIED,IN KENNEL,289
1,2006,3,DIED,IN SURGERY,290
17,2006,3,EUTH,,291
13,2006,3,EUTH,BEHAV HIST,292
142,2006,3,EUTH,BEHAV OBSV,293
35,2006,3,EUTH,BREED,294
11,2006,3,EUTH,FERAL,295
141,2006,3,EUTH,MEDICAL,296
19,2006,3,EUTH,REQUESTED,297
128,2006,3,EUTH,TIME/SPACE,298
9,2006,3,EUTH,TOO OLD,299
1,2006,3,MISSING,,300
16,2006,3,MISSING,IN KENNEL,301
2,2006,3,RELOCATE,,302
105,2006,3,RTO,,303
7,2006,3,TRANSFER,,304
55,2006,3,TRANSFER,KHS,305
111,2006,3,TRANSFER,RESCUE GRP,306
67,2006,4,ADOPTION,,307
1,2006,4,ADOPTION,PRV ADOPT,308
2,2006,4,ADOPTION,WALK IN,309
4,2006,4,DIED,,310
1,2006,4,DIED,IN FOSTER,311
10,2006,4,DIED,IN KENNEL,312
5,2006,4,DISPOSAL,,313
1,2006,4,DISPOSAL,CREM-PRIV,314
15,2006,4,EUTH,,315
11,2006,4,EUTH,BEHAV HIST,316
146,2006,4,EUTH,BEHAV OBSV,317
28,2006,4,EUTH,BREED,318
1,2006,4,EUTH,CONTAG DIS,319
11,2006,4,EUTH,FERAL,320
156,2006,4,EUTH,MEDICAL,321
39,2006,4,EUTH,REQUESTED,322
163,2006,4,EUTH,TIME/SPACE,323
1,2006,4,EUTH,TOO OLD,324
6,2006,4,EUTH,TOO YOUNG,325
1,2006,4,MISSING,,326
3,2006,4,MISSING,IN KENNEL,327
11,2006,4,RELOCATE,,328
109,2006,4,RTO,,329
8,2006,4,TRANSFER,,330
89,2006,4,TRANSFER,RESCUE GRP,331
1,2006,5,,,332
59,2006,5,ADOPTION,,333
4,2006,5,DIED,,334
27,2006,5,DIED,IN KENNEL,335
1,2006,5,DIED,IN SURGERY,336
1,2006,5,DISPOSAL,,337
60,2006,5,EUTH,,338
15,2006,5,EUTH,BEHAV HIST,339
94,2006,5,EUTH,BEHAV OBSV,340
25,2006,5,EUTH,BREED,341
30,2006,5,EUTH,FERAL,342
225,2006,5,EUTH,MEDICAL,343
35,2006,5,EUTH,REQUESTED,344
258,2006,5,EUTH,TIME/SPACE,345
10,2006,5,EUTH,TOO OLD,346
19,2006,5,EUTH,TOO YOUNG,347
156,2006,5,MISSING,,348
17,2006,5,MISSING,IN KENNEL,349
5,2006,5,RELOCATE,,350
111,2006,5,RTO,,351
2,2006,5,TRANSFER,,352
2,2006,5,TRANSFER,AN CONTROL,353
149,2006,5,TRANSFER,RESCUE GRP,354
72,2006,6,ADOPTION,,355
1,2006,6,DIED,,356
1,2006,6,DIED,ENROUTE,357
22,2006,6,DIED,IN KENNEL,358
4,2006,6,DISPOSAL,,359
98,2006,6,EUTH,,360
9,2006,6,EUTH,BEHAV HIST,361
101,2006,6,EUTH,BEHAV OBSV,362
1,2006,6,EUTH,BREED,363
2,2006,6,EUTH,CONTAG DIS,364
41,2006,6,EUTH,FERAL,365
318,2006,6,EUTH,MEDICAL,366
60,2006,6,EUTH,REQUESTED,367
360,2006,6,EUTH,TIME/SPACE,368
5,2006,6,EUTH,TOO OLD,369
17,2006,6,EUTH,TOO YOUNG,370
95,2006,6,MISSING,,371
1,2006,6,MISSING,IN FOSTER,372
5,2006,6,MISSING,IN KENNEL,373
6,2006,6,RELOCATE,,374
113,2006,6,RTO,,375
3,2006,6,TRANSFER,,376
65,2006,6,TRANSFER,RESCUE GRP,377
68,2006,7,ADOPTION,,378
1,2006,7,ADOPTION,REFERRAL,379
1,2006,7,DIED,,380
1,2006,7,DIED,ENROUTE,381
35,2006,7,DIED,IN KENNEL,382
6,2006,7,DISPOSAL,,383
49,2006,7,EUTH,,384
3,2006,7,EUTH,BEHAV HIST,385
70,2006,7,EUTH,BEHAV OBSV,386
2,2006,7,EUTH,CONTAG DIS,387
22,2006,7,EUTH,FERAL,388
1,2006,7,EUTH,HEARTWORM,389
240,2006,7,EUTH,MEDICAL,390
46,2006,7,EUTH,REQUESTED,391
610,2006,7,EUTH,TIME/SPACE,392
3,2006,7,EUTH,TOO OLD,393
6,2006,7,EUTH,TOO YOUNG,394
120,2006,7,MISSING,,395
39,2006,7,MISSING,IN KENNEL,396
3,2006,7,RELEASED,,397
10,2006,7,RELOCATE,,398
111,2006,7,RTO,,399
14,2006,7,TRANSFER,,400
95,2006,7,TRANSFER,RESCUE GRP,401
2,2006,8,,,402
70,2006,8,ADOPTION,,403
4,2006,8,ADOPTION,WALK IN,404
1,2006,8,DIED,,405
1,2006,8,DIED,ENROUTE,406
28,2006,8,DIED,IN KENNEL,407
2,2006,8,DISPOSAL,,408
40,2006,8,EUTH,,409
15,2006,8,EUTH,BEHAV HIST,410
60,2006,8,EUTH,BEHAV OBSV,411
1,2006,8,EUTH,BREED,412
1,2006,8,EUTH,CONTAG DIS,413
31,2006,8,EUTH,FERAL,414
163,2006,8,EUTH,MEDICAL,415
43,2006,8,EUTH,REQUESTED,416
656,2006,8,EUTH,TIME/SPACE,417
6,2006,8,EUTH,TOO OLD,418
18,2006,8,EUTH,TOO YOUNG,419
72,2006,8,MISSING,,420
20,2006,8,MISSING,IN KENNEL,421
15,2006,8,RELEASED,,422
3,2006,8,RELEASED,IN SURGERY,423
3,2006,8,RELOCATE,,424
112,2006,8,RTO,,425
1,2006,8,RTO,IN FIELD,426
9,2006,8,TRANSFER,,427
47,2006,8,TRANSFER,RESCUE GRP,428
87,2006,9,ADOPTION,,429
2,2006,9,DIED,,430
22,2006,9,DIED,IN KENNEL,431
1,2006,9,DIED,IN SURGERY,432
4,2006,9,DISPOSAL,,433
102,2006,9,EUTH,,434
8,2006,9,EUTH,BEHAV HIST,435
46,2006,9,EUTH,BEHAV OBSV,436
19,2006,9,EUTH,FERAL,437
1,2006,9,EUTH,HEARTWORM,438
201,2006,9,EUTH,MEDICAL,439
1,2006,9,EUTH,PREGNANT,440
35,2006,9,EUTH,REQUESTED,441
523,2006,9,EUTH,TIME/SPACE,442
2,2006,9,EUTH,TOO OLD,443
4,2006,9,EUTH,TOO YOUNG,444
126,2006,9,MISSING,,445
5,2006,9,MISSING,IN KENNEL,446
24,2006,9,RELEASED,,447
103,2006,9,RTO,,448
17,2006,9,TRANSFER,,449
30,2006,9,TRANSFER,RESCUE GRP,450
93,2006,10,ADOPTION,,451
1,2006,10,DIED,,452
1,2006,10,DIED,IN FOSTER,453
43,2006,10,DIED,IN KENNEL,454
1,2006,10,DISPOSAL,,455
2,2006,10,DISPOSAL,DEAD ARRIV,456
10,2006,10,ET PROCESS,,457
20,2006,10,EUTH,,458
6,2006,10,EUTH,BEHAV HIST,459
94,2006,10,EUTH,BEHAV OBSV,460
2,2006,10,EUTH,CONTAG DIS,461
50,2006,10,EUTH,FERAL,462
275,2006,10,EUTH,MEDICAL,463
34,2006,10,EUTH,REQUESTED,464
442,2006,10,EUTH,TIME/SPACE,465
5,2006,10,EUTH,TOO OLD,466
1,2006,10,EUTH,TOO YOUNG,467
18,2006,10,MISSING,,468
1,2006,10,MISSING,ENROUTE,469
6,2006,10,MISSING,IN KENNEL,470
24,2006,10,RELEASED,,471
3,2006,10,RELEASED,IN SURGERY,472
95,2006,10,RTO,,473
1,2006,10,RTO,IN FIELD,474
17,2006,10,TRANSFER,,475
52,2006,10,TRANSFER,RESCUE GRP,476
86,2006,11,ADOPTION,,477
1,2006,11,ADOPTION,FRIEND,478
3,2006,11,DIED,ENROUTE,479
1,2006,11,DIED,IN FOSTER,480
20,2006,11,DIED,IN KENNEL,481
1,2006,11,DIED,IN SURGERY,482
2,2006,11,EUTH,,483
11,2006,11,EUTH,BEHAV HIST,484
183,2006,11,EUTH,BEHAV OBSV,485
1,2006,11,EUTH,BREED,486
5,2006,11,EUTH,CONTAG DIS,487
48,2006,11,EUTH,FERAL,488
331,2006,11,EUTH,MEDICAL,489
45,2006,11,EUTH,REQUESTED,490
166,2006,11,EUTH,TIME/SPACE,491
9,2006,11,EUTH,TOO OLD,492
4,2006,11,EUTH,TOO YOUNG,493
52,2006,11,MISSING,IN KENNEL,494
27,2006,11,RELEASED,,495
2,2006,11,RELEASED,IN SURGERY,496
1,2006,11,RELEASED,MEDICAL,497
1,2006,11,RELOCATE,,498
76,2006,11,RTO,,499
6,2006,11,RTO,IN FIELD,500
60,2006,11,TRANSFER,RESCUE GRP,501
1,2006,11,TRANSFER,WILDLIFE,502
132,2006,12,ADOPTION,,503
5,2006,12,DIED,ENROUTE,504
8,2006,12,DIED,IN KENNEL,505
1,2006,12,DIED,IN SURGERY,506
9,2006,12,EUTH,,507
14,2006,12,EUTH,BEHAV HIST,508
177,2006,12,EUTH,BEHAV OBSV,509
3,2006,12,EUTH,BREED,510
17,2006,12,EUTH,FERAL,511
304,2006,12,EUTH,MEDICAL,512
29,2006,12,EUTH,REQUESTED,513
80,2006,12,EUTH,TIME/SPACE,514
14,2006,12,EUTH,TOO OLD,515
22,2006,12,MISSING,IN KENNEL,516
40,2006,12,RELEASED,,517
12,2006,12,RELEASED,IN SURGERY,518
1,2006,12,RELOCATE,,519
92,2006,12,RTO,,520
6,2006,12,RTO,IN FIELD,521
5,2006,12,TRANSFER,,522
2,2006,12,TRANSFER,AN CONTROL,523
64,2006,12,TRANSFER,RESCUE GRP,524
70,2007,1,ADOPTION,,525
1,2007,1,ADOPTION,TV WLKY,526
4,2007,1,DIED,ENROUTE,527
11,2007,1,DIED,IN KENNEL,528
1,2007,1,DIED,IN SURGERY,529
4,2007,1,EUTH,,530
15,2007,1,EUTH,BEHAV HIST,531
178,2007,1,EUTH,BEHAV OBSV,532
2,2007,1,EUTH,BREED,533
1,2007,1,EUTH,CONTAG DIS,534
28,2007,1,EUTH,FERAL,535
1,2007,1,EUTH,HEARTWORM,536
298,2007,1,EUTH,MEDICAL,537
55,2007,1,EUTH,REQUESTED,538
89,2007,1,EUTH,TIME/SPACE,539
4,2007,1,EUTH,TOO OLD,540
8,2007,1,EUTH,TOO YOUNG,541
22,2007,1,RELEASED,,542
5,2007,1,RELEASED,IN SURGERY,543
83,2007,1,RTO,,544
1,2007,1,RTO,IN FIELD,545
1,2007,1,TRANSFER,,546
77,2007,1,TRANSFER,RESCUE GRP,547
53,2007,2,ADOPTION,,548
1,2007,2,ADOPTION,PRV ADOPT,549
1,2007,2,DIED,,550
1,2007,2,DIED,ENROUTE,551
10,2007,2,DIED,IN KENNEL,552
1,2007,2,DIED,IN SURGERY,553
1,2007,2,DISPOSAL,DEAD ARRIV,554
30,2007,2,EUTH,BEHAV HIST,555
167,2007,2,EUTH,BEHAV OBSV,556
7,2007,2,EUTH,CONTAG DIS,557
28,2007,2,EUTH,FERAL,558
254,2007,2,EUTH,MEDICAL,559
66,2007,2,EUTH,REQUESTED,560
57,2007,2,EUTH,TIME/SPACE,561
3,2007,2,EUTH,TOO OLD,562
1,2007,2,EUTH,TOO YOUNG,563
1,2007,2,MISSING,IN KENNEL,564
46,2007,2,RELEASED,,565
11,2007,2,RELEASED,IN SURGERY,566
1,2007,2,RELOCATE,,567
80,2007,2,RTO,,568
2,2007,2,TRANSFER,,569
73,2007,2,TRANSFER,RESCUE GRP,570
64,2007,3,ADOPTION,,571
1,2007,3,ADOPTION,FRIEND,572
1,2007,3,ADOPTION,PRV ADOPT,573
1,2007,3,DIED,ENROUTE,574
6,2007,3,DIED,IN KENNEL,575
2,2007,3,DISPOSAL,DEAD ARRIV,576
2,2007,3,ET PROCESS,,577
15,2007,3,EUTH,,578
29,2007,3,EUTH,BEHAV HIST,579
154,2007,3,EUTH,BEHAV OBSV,580
2,2007,3,EUTH,BREED,581
2,2007,3,EUTH,CONTAG DIS,582
27,2007,3,EUTH,FERAL,583
349,2007,3,EUTH,MEDICAL,584
35,2007,3,EUTH,REQUESTED,585
113,2007,3,EUTH,TIME/SPACE,586
10,2007,3,EUTH,TOO OLD,587
25,2007,3,EUTH,TOO YOUNG,588
1,2007,3,MISSING,,589
1,2007,3,MISSING,IN KENNEL,590
50,2007,3,RELEASED,,591
13,2007,3,RELEASED,IN SURGERY,592
12,2007,3,RELEASED,MEDICAL,593
2,2007,3,RELOCATE,,594
99,2007,3,RTO,,595
6,2007,3,RTO,IN FIELD,596
7,2007,3,TRANSFER,KHS,597
62,2007,3,TRANSFER,RESCUE GRP,598
84,2007,4,ADOPTION,,599
3,2007,4,ADOPTION,WEB PF,600
2,2007,4,DIED,,601
1,2007,4,DIED,IN KENNEL,602
1,2007,4,DIED,IN SURGERY,603
1,2007,4,ET PROCESS,,604
18,2007,4,EUTH,,605
25,2007,4,EUTH,BEHAV HIST,606
105,2007,4,EUTH,BEHAV OBSV,607
10,2007,4,EUTH,BREED,608
21,2007,4,EUTH,CONTAG DIS,609
19,2007,4,EUTH,FERAL,610
1,2007,4,EUTH,HEARTWORM,611
215,2007,4,EUTH,MEDICAL,612
51,2007,4,EUTH,REQUESTED,613
176,2007,4,EUTH,TIME/SPACE,614
4,2007,4,EUTH,TOO OLD,615
49,2007,4,EUTH,TOO YOUNG,616
3,2007,4,MISSING,,617
56,2007,4,RELEASED,,618
22,2007,4,RELEASED,IN SURGERY,619
7,2007,4,RELEASED,MEDICAL,620
1,2007,4,RELOCATE,,621
98,2007,4,RTO,,622
4,2007,4,RTO,IN FIELD,623
3,2007,4,TRANSFER,KHS,624
76,2007,4,TRANSFER,RESCUE GRP,625
81,2007,5,ADOPTION,,626
1,2007,5,ADOPTION,FRIEND,627
5,2007,5,ADOPTION,WALK IN,628
12,2007,5,ADOPTION,WEB PF,629
1,2007,5,DIED,,630
4,2007,5,DIED,ENROUTE,631
2,2007,5,DIED,IN FOSTER,632
13,2007,5,DIED,IN KENNEL,633
1,2007,5,ET PROCESS,,634
8,2007,5,EUTH,,635
40,2007,5,EUTH,BEHAV HIST,636
181,2007,5,EUTH,BEHAV OBSV,637
4,2007,5,EUTH,BREED,638
162,2007,5,EUTH,CONTAG DIS,639
24,2007,5,EUTH,FERAL,640
1,2007,5,EUTH,HEARTWORM,641
256,2007,5,EUTH,MEDICAL,642
2,2007,5,EUTH,PREGNANT,643
49,2007,5,EUTH,REQUESTED,644
168,2007,5,EUTH,TIME/SPACE,645
20,2007,5,EUTH,TOO OLD,646
54,2007,5,EUTH,TOO YOUNG,647
1,2007,5,MISSING,IN FOSTER,648
6,2007,5,MISSING,IN KENNEL,649
5,2007,5,NO SHOW,,650
44,2007,5,RELEASED,,651
39,2007,5,RELEASED,IN SURGERY,652
1,2007,5,RELEASED,MEDICAL,653
1,2007,5,RELOCATE,,654
81,2007,5,RTO,,655
1,2007,5,RTO,IN FIELD,656
1,2007,5,TRANSFER,KHS,657
52,2007,5,TRANSFER,RESCUE GRP,658
4,2007,5,TRANSFER,WILDLIFE,659
109,2007,6,ADOPTION,,660
3,2007,6,ADOPTION,FRIEND,661
1,2007,6,ADOPTION,REFERRAL,662
3,2007,6,ADOPTION,WALK IN,663
22,2007,6,ADOPTION,WEB PF,664
1,2007,6,DIED,AT VET,665
2,2007,6,DIED,ENROUTE,666
11,2007,6,DIED,IN KENNEL,667
1,2007,6,DIED,IN SURGERY,668
4,2007,6,EUTH,,669
24,2007,6,EUTH,BEHAV HIST,670
172,2007,6,EUTH,BEHAV OBSV,671
23,2007,6,EUTH,BREED,672
115,2007,6,EUTH,CONTAG DIS,673
17,2007,6,EUTH,FERAL,674
250,2007,6,EUTH,MEDICAL,675
5,2007,6,EUTH,PREGNANT,676
101,2007,6,EUTH,REQUESTED,677
350,2007,6,EUTH,TIME/SPACE,678
16,2007,6,EUTH,TOO OLD,679
27,2007,6,EUTH,TOO YOUNG,680
2,2007,6,MISSING,,681
4,2007,6,MISSING,IN KENNEL,682
15,2007,6,NO SHOW,,683
73,2007,6,RELEASED,,684
44,2007,6,RELEASED,IN SURGERY,685
94,2007,6,RTO,,686
7,2007,6,RTO,IN FIELD,687
1,2007,6,TRANSFER,,688
9,2007,6,TRANSFER,KHS,689
49,2007,6,TRANSFER,RESCUE GRP,690
1,2007,7,,,691
85,2007,7,ADOPTION,,692
7,2007,7,ADOPTION,FRIEND,693
1,2007,7,ADOPTION,PRV ADOPT,694
3,2007,7,ADOPTION,REFERRAL,695
3,2007,7,ADOPTION,WALK IN,696
