IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH,ObjectId
EUTH REQ,FIELD OWN,7,2007,2,45
CONFISCATE,POLICE,1,2005,11,46
EUTH REQ,FIELD OWN,2,2005,3,47
EUTH REQ,OTC OWNED,56,2007,2,48
EUTH REQ,FIELD OWN,1,2005,11,49
EUTH REQ,OTC OWNED,2,2005,3,50
OUTSURGERY,,54,2007,2,51
EUTH REQ,OTC OWNED,12,2005,11,52
OWNER SUR,FIELD,15,2005,3,53
OWNER SUR,FIELD,28,2007,2,54
KHS,,1,2005,11,55
OWNER SUR,OTC,54,2005,3,56
OWNER SUR,OTC,155,2007,2,57
KHS,STRAY,37,2005,11,58
RETURN,OTC,3,2005,3,59
QUARANTINE,MAS,2,2007,2,60
OWNER SUR,FIELD,32,2005,11,61
STRAY,,4,2005,3,62
QUARANTINE,OWNER,2,2007,2,63
OWNER SUR,OTC,128,2005,11,64
STRAY,FIELD,171,2005,3,65
STRAY,FIELD,285,2007,2,66
STRAY,FIELD,291,2005,11,67
STRAY,NIGHT,1,2005,3,68
STRAY,OTC,284,2007,2,69
STRAY,OTC,331,2005,11,70
STRAY,OTC,193,2005,3,71
CONFISCATE,BITE,1,2007,3,72
TRANSFER,AN CONTROL,1,2005,11,73
CONFISCATE,,1,2005,4,74
CONFISCATE,CRUELTY,1,2007,3,75
CONFISCATE,BITE,2,2005,12,76
CONFISCATE,BITE,2,2005,4,77
CONFISCATE,DANGER DOG,4,2007,3,78
CONFISCATE,CRUELTY,6,2005,12,79
CONFISCATE,CRUELTY,6,2005,4,80
CONFISCATE,NEGLECT,28,2007,3,81
CONFISCATE,NEGLECT,26,2005,12,82
CONFISCATE,POLICE,1,2005,4,83
CONFISCATE,POTDANGER,9,2007,3,84
EUTH REQ,FIELD OWN,2,2005,12,85
EUTH REQ,FIELD OWN,2,2005,4,86
CONFISCATE,BITE,1,2006,6,87
EUTH REQ,FIELD OWN,7,2007,3,88
EUTH REQ,OTC OWNED,9,2005,12,89
EUTH REQ,OTC OWNED,26,2005,4,90
EUTH REQ,OTC OWNED,43,2007,3,91
CONFISCATE,NEGLECT,40,2006,6,92
KHS,,1,2005,12,93
OWNER SUR,FIELD,33,2005,4,94
OUTSURGERY,,70,2007,3,95
EUTH REQ,FIELD OWN,8,2006,6,96
KHS,STRAY,13,2005,12,97
OWNER SUR,OTC,78,2005,4,98
OWNER SUR,FIELD,39,2007,3,99
EUTH REQ,OTC OWNED,69,2006,6,100
OWNER SUR,FIELD,25,2005,12,101
RETURN,OTC,1,2005,4,102
OWNER SUR,OTC,156,2007,3,103
KHS,OWNER SUR,3,2006,6,104
OWNER SUR,OTC,174,2005,12,105
QUARANTINE,MAS,6,2007,3,106
STRAY,,1,2005,4,107
KHS,STRAY,39,2006,6,108
STRAY,,1,2005,12,109
QUARANTINE,OWNER,4,2007,3,110
STRAY,FIELD,237,2005,4,111
OWNER SUR,FIELD,50,2006,6,112
STRAY,FIELD,291,2005,12,113
STRAY,OTC,286,2005,4,114
QUARANTINE,STRAY,4,2007,3,115
OWNER SUR,OTC,258,2006,6,116
STRAY,OTC,312,2005,12,117
CONFISCATE,ABANDONED,14,2006,1,118
CONFISCATE,BITE,1,2006,1,119
CONFISCATE,NEGLECT,11,2006,1,120
EUTH REQ,,1,2006,1,121
EUTH REQ,FIELD OWN,2,2006,1,122
EUTH REQ,OTC OWNED,8,2006,1,123
KHS,OWNER SUR,1,2006,1,124
KHS,STRAY,11,2006,1,125
OWNER SUR,FIELD,43,2006,1,126
OWNER SUR,OTC,165,2006,1,127
STRAY,FIELD,340,2006,1,128
STRAY,OTC,290,2006,1,129
CONFISCATE,ABANDONED,7,2006,2,130
RETURN,FIELD,3,2006,6,131
TRANSFER,,1,2005,4,132
STRAY,FIELD,443,2006,6,133
RETURN,OTC,2,2007,3,134
CONFISCATE,,2,2005,5,135
STRAY,OTC,517,2006,6,136
STRAY,FIELD,301,2007,3,137
CONFISCATE,CRUELTY,27,2005,5,138
CONFISCATE,ABANDONED,1,2006,7,139
STRAY,OTC,392,2007,3,140
EUTH REQ,FIELD OWN,7,2005,5,141
CONFISCATE,BITE,3,2006,7,142
TRANSFER,AN CONTROL,2,2007,3,143
EUTH REQ,OTC OWNED,23,2005,5,144
CONFISCATE,CRUELTY,1,2006,7,145
CONFISCATE,BITE,2,2007,4,146
KHS,STRAY,1,2005,5,147
CONFISCATE,NEGLECT,15,2006,7,148
CONFISCATE,CRUELTY,4,2007,4,149
OWNER SUR,FIELD,25,2005,5,150
EUTH REQ,FIELD OWN,3,2006,7,151
CONFISCATE,NEGLECT,22,2007,4,152
OWNER SUR,OTC,103,2005,5,153
EUTH REQ,OTC OWNED,34,2006,7,154
CONFISCATE,POLICE,1,2007,4,155
STRAY,,1,2005,5,156
KHS,OWNER SUR,2,2006,7,157
CONFISCATE,POTDANGER,3,2007,4,158
STRAY,FIELD,271,2005,5,159
KHS,STRAY,63,2006,7,160
EUTH REQ,,1,2007,4,161
STRAY,OTC,339,2005,5,162
OUTSURGERY,,3,2006,7,163
EUTH REQ,FIELD OWN,15,2007,4,164
TRANSFER,,1,2005,5,165
OWNER SUR,FIELD,25,2006,7,166
EUTH REQ,OTC OWNED,63,2007,4,167
CONFISCATE,,5,2005,6,168
OWNER SUR,OTC,324,2006,7,169
OUTSURGERY,,103,2007,4,170
CONFISCATE,BITE,1,2005,6,171
RETURN,OTC,2,2006,7,172
CONFISCATE,CRUELTY,17,2005,6,173
STRAY,,3,2006,7,174
STRAY,FIELD,482,2006,7,175
STRAY,OTC,597,2006,7,176
CONFISCATE,BITE,6,2006,8,177
CONFISCATE,CRUELTY,2,2006,8,178
CONFISCATE,NEGLECT,47,2006,8,179
EUTH REQ,FIELD OWN,2,2006,8,180
EUTH REQ,OTC OWNED,30,2006,8,181
KHS,STRAY,45,2006,8,182
OUTSURGERY,,26,2006,8,183
OWNER SUR,FIELD,40,2006,8,184
OWNER SUR,OTC,240,2006,8,185
STRAY,FIELD,495,2006,8,186
STRAY,OTC,514,2006,8,187
CONFISCATE,BITE,5,2006,9,188
CONFISCATE,EVICTION,1,2006,9,189
CONFISCATE,NEGLECT,14,2006,9,190
CONFISCATE,POLICE,1,2006,9,191
EUTH REQ,FIELD OWN,7,2006,9,192
EUTH REQ,OTC OWNED,22,2006,9,193
KHS,STRAY,37,2006,9,194
OUTSURGERY,,16,2006,9,195
OWNER SUR,FIELD,22,2006,9,196
OWNER SUR,OTC,265,2006,9,197
RETURN,OTC,3,2006,9,198
STRAY,,1,2006,9,199
STRAY,FIELD,490,2006,9,200
EUTH REQ,FIELD OWN,3,2005,6,201
EUTH REQ,OTC OWNED,23,2005,6,202
KHS,STRAY,14,2005,6,203
OWNER SUR,FIELD,23,2005,6,204
OWNER SUR,OTC,100,2005,6,205
RETURN,OTC,1,2005,6,206
STRAY,,4,2005,6,207
STRAY,FIELD,320,2005,6,208
STRAY,OTC,356,2005,6,209
CONFISCATE,BITE,1,2005,7,210
CONFISCATE,CRUELTY,14,2005,7,211
CONFISCATE,POLICE,1,2005,7,212
EUTH REQ,FIELD OWN,6,2005,7,213
EUTH REQ,OTC OWNED,26,2005,7,214
KHS,BITE,2,2005,7,215
KHS,STRAY,84,2005,7,216
OWNER SUR,,1,2005,7,217
OWNER SUR,FIELD,42,2005,7,218
OWNER SUR,OTC,124,2005,7,219
STRAY,,1,2005,7,220
STRAY,FIELD,337,2005,7,221
STRAY,OTC,364,2005,7,222
CONFISCATE,ABANDONED,2,2005,8,223
CONFISCATE,CRUELTY,27,2005,8,224
CONFISCATE,NEGLECT,5,2005,8,225
EUTH REQ,,1,2005,8,226
EUTH REQ,FIELD OWN,5,2005,8,227
EUTH REQ,OTC OWNED,34,2005,8,228
KHS,STRAY,71,2005,8,229
OWNER SUR,,1,2005,8,230
OWNER SUR,FIELD,28,2005,8,231
OWNER SUR,OTC,105,2005,8,232
RETURN,FIELD,1,2005,8,233
STRAY,,2,2005,8,234
STRAY,FIELD,354,2005,8,235
STRAY,OTC,379,2005,8,236
CONFISCATE,ABANDONED,1,2005,9,237
CONFISCATE,CRUELTY,17,2005,9,238
CONFISCATE,NEGLECT,3,2005,9,239
EUTH REQ,FIELD OWN,6,2005,9,240
EUTH REQ,OTC OWNED,28,2005,9,241
KHS,STRAY,56,2005,9,242
OWNER SUR,FIELD,30,2005,9,243
OWNER SUR,OTC,121,2005,9,244
STRAY,,2,2005,9,245
STRAY,FIELD,301,2005,9,246
STRAY,OTC,376,2005,9,247
CONFISCATE,ABANDONED,1,2005,10,248
CONFISCATE,BITE,1,2005,10,249
CONFISCATE,CRUELTY,4,2005,10,250
OWNER SUR,FIELD,39,2007,4,251
OWNER SUR,OTC,257,2007,4,252
QUARANTINE,,1,2007,4,253
QUARANTINE,MAS,2,2007,4,254
QUARANTINE,OWNER,4,2007,4,255
QUARANTINE,STRAY,3,2007,4,256
RETURN,OTC,2,2007,4,257
STRAY,FIELD,330,2007,4,258
STRAY,OTC,302,2007,4,259
CONFISCATE,ABANDONED,1,2007,5,260
CONFISCATE,BITE,3,2007,5,261
CONFISCATE,CRUELTY,3,2007,5,262
CONFISCATE,DANGER DOG,3,2007,5,263
CONFISCATE,NEGLECT,22,2007,5,264
CONFISCATE,POLICE,4,2007,5,265
CONFISCATE,POTDANGER,3,2007,5,266
CONFISCATE,UNPERMITED,2,2007,5,267
EUTH REQ,FIELD OWN,17,2007,5,268
EUTH REQ,OTC OWNED,52,2007,5,269
INVESTIGAT,POTDANGER,1,2007,5,270
OUTSURGERY,,104,2007,5,271
OWNER SUR,FIELD,76,2007,5,272
OWNER SUR,OTC,282,2007,5,273
QUARANTINE,,1,2007,5,274
QUARANTINE,MAS,5,2007,5,275
QUARANTINE,OWNER,6,2007,5,276
QUARANTINE,STRAY,7,2007,5,277
RETURN,FIELD,1,2007,5,278
RETURN,OTC,6,2007,5,279
STRAY,,1,2007,5,280
STRAY,FIELD,438,2007,5,281
STRAY,OTC,337,2007,5,282
TRANSFER,AN CONTROL,1,2007,5,283
CONFISCATE,,1,2007,6,284
CONFISCATE,ABANDONED,3,2007,6,285
CONFISCATE,DANGER DOG,2,2007,6,286
CONFISCATE,NEGLECT,23,2007,6,287
CONFISCATE,POLICE,2,2007,6,288
CONFISCATE,POTDANGER,8,2007,6,289
CONFISCATE,UNPERMITED,3,2007,6,290
EUTH REQ,FIELD OWN,8,2007,6,291
EUTH REQ,OTC OWNED,102,2007,6,292
INVESTIGAT,POTDANGER,2,2007,6,293
OUTSURGERY,,111,2007,6,294
OUTSURGERY, ,3,2007,6,295
OWNER SUR,FIELD,35,2007,6,296
OWNER SUR,OTC,361,2007,6,297
QUARANTINE,,1,2007,6,298
QUARANTINE,MAS,9,2007,6,299
QUARANTINE,OWNER,6,2007,6,300
STRAY,OTC,516,2006,9,301
CONFISCATE,ABANDONED,2,2006,10,302
CONFISCATE,BITE,1,2006,10,303
CONFISCATE,CRUELTY,1,2006,10,304
CONFISCATE,DANGER DOG,1,2006,10,305
CONFISCATE,EVICTION,1,2006,10,306
CONFISCATE,NEGLECT,17,2006,10,307
CONFISCATE,POLICE,4,2006,10,308
EUTH REQ,FIELD OWN,5,2006,10,309
EUTH REQ,OTC OWNED,20,2006,10,310
KHS,STRAY,18,2006,10,311
OUTSURGERY,,33,2006,10,312
OWNER SUR,FIELD,48,2006,10,313
OWNER SUR,OTC,230,2006,10,314
RETURN,OTC,1,2006,10,315
STRAY,FIELD,410,2006,10,316
STRAY,OTC,485,2006,10,317
CONFISCATE,ABANDONED,2,2006,11,318
CONFISCATE,BITE,1,2006,11,319
CONFISCATE,DANGER DOG,2,2006,11,320
CONFISCATE,NEGLECT,13,2006,11,321
EUTH REQ,FIELD OWN,7,2006,11,322
EUTH REQ,OTC OWNED,39,2006,11,323
OUTSURGERY,,38,2006,11,324
OWNER SUR,,1,2006,11,325
OWNER SUR,FIELD,22,2006,11,326
OWNER SUR,OTC,184,2006,11,327
RETURN,FIELD,1,2006,11,328
RETURN,OTC,3,2006,11,329
STRAY,FIELD,376,2006,11,330
STRAY,OTC,333,2006,11,331
CONFISCATE,ABANDONED,1,2006,12,332
CONFISCATE,DANGER DOG,1,2006,12,333
CONFISCATE,NEGLECT,17,2006,12,334
CONFISCATE,OWNER DIED,5,2006,12,335
EUTH REQ,FIELD OWN,2,2006,12,336
EUTH REQ,OTC OWNED,33,2006,12,337
KHS,STRAY,4,2006,12,338
OUTSURGERY,,35,2006,12,339
OWNER SUR,FIELD,41,2006,12,340
OWNER SUR,OTC,217,2006,12,341
QUARANTINE,MAS,1,2006,12,342
QUARANTINE,OWNER,2,2006,12,343
QUARANTINE,STRAY,1,2006,12,344
RETURN,OTC,1,2006,12,345
STRAY,,1,2006,12,346
STRAY,FIELD,286,2006,12,347
STRAY,OTC,328,2006,12,348
CONFISCATE,CRUELTY,1,2007,1,349
CONFISCATE,DANGER DOG,1,2007,1,350
CONFISCATE,BITE,2,2006,2,351
CONFISCATE,CRUELTY,1,2006,2,352
CONFISCATE,NEGLECT,13,2006,2,353
EUTH REQ,FIELD OWN,1,2006,2,354
EUTH REQ,OTC OWNED,16,2006,2,355
KHS,STRAY,6,2006,2,356
OWNER SUR,FIELD,32,2006,2,357
OWNER SUR,OTC,110,2006,2,358
RETURN,OTC,2,2006,2,359
STRAY,FIELD,299,2006,2,360
STRAY,OTC,225,2006,2,361
CONFISCATE,ABANDONED,5,2006,3,362
CONFISCATE,BITE,1,2006,3,363
CONFISCATE,NEGLECT,30,2006,3,364
EUTH REQ,FIELD OWN,4,2006,3,365
EUTH REQ,OTC OWNED,19,2006,3,366
OWNER SUR,FIELD,45,2006,3,367
OWNER SUR,OTC,178,2006,3,368
RETURN,FIELD,3,2006,3,369
STRAY,FIELD,332,2006,3,370
STRAY,OTC,270,2006,3,371
CONFISCATE,ABANDONED,2,2006,4,372
CONFISCATE,BITE,10,2006,4,373
CONFISCATE,CRUELTY,5,2006,4,374
CONFISCATE,NEGLECT,22,2006,4,375
EUTH REQ,OTC OWNED,19,2006,4,376
KHS,BITE,2,2006,4,377
KHS,STRAY,4,2006,4,378
OWNER SUR,FIELD,62,2006,4,379
OWNER SUR,OTC,218,2006,4,380
RETURN,OTC,1,2006,4,381
STRAY,,1,2006,4,382
STRAY,FIELD,346,2006,4,383
STRAY,OTC,331,2006,4,384
TRANSFER,AN CONTROL,5,2006,4,385
CONFISCATE,ABANDONED,3,2006,5,386
CONFISCATE,BITE,2,2006,5,387
CONFISCATE,CRUELTY,7,2006,5,388
CONFISCATE,EVICTION,1,2006,5,389
CONFISCATE,NEGLECT,11,2006,5,390
CONFISCATE,POLICE,4,2006,5,391
EUTH REQ,FIELD OWN,5,2006,5,392
EUTH REQ,OTC OWNED,36,2006,5,393
KHS,STRAY,14,2006,5,394
OWNER SUR,FIELD,31,2006,5,395
OWNER SUR,OTC,270,2006,5,396
STRAY,,1,2006,5,397
STRAY,FIELD,484,2006,5,398
STRAY,OTC,451,2006,5,399
CONFISCATE,ABANDONED,2,2006,6,400
OWNER SUR,,4,2007,11,401
OWNER SUR,FIELD,84,2007,11,402
OWNER SUR,OTC,250,2007,11,403
QUARANTINE,MAS,5,2007,11,404
QUARANTINE,OWNER,1,2007,11,405
QUARANTINE,STRAY,7,2007,11,406
RETURN,OTC,8,2007,11,407
STRAY,,1,2007,11,408
STRAY,FIELD,383,2007,11,409
STRAY,OTC,260,2007,11,410
CONFISCATE,ABANDONED,4,2007,12,411
CONFISCATE,NEGLECT,27,2007,12,412
CONFISCATE,POTDANGER,1,2007,12,413
CONFISCATE,UNPERMITED,8,2007,12,414
EUTH REQ,FIELD OWN,4,2007,12,415
EUTH REQ,OTC OWNED,53,2007,12,416
INVESTIGAT,POTDANGER,2,2007,12,417
OUTSURGERY,,53,2007,12,418
OUTSURGERY, ,1,2007,12,419
OWNER SUR,FIELD,31,2007,12,420
OWNER SUR,OTC,227,2007,12,421
QUARANTINE,MAS,8,2007,12,422
QUARANTINE,OWNER,1,2007,12,423
QUARANTINE,STRAY,3,2007,12,424
RETURN,FIELD,5,2007,12,425
RETURN,OTC,14,2007,12,426
STRAY,FIELD,313,2007,12,427
STRAY,OTC,205,2007,12,428
TRANSFER,AN CONTROL,2,2007,12,429
CONFISCATE,,4,2008,1,430
CONFISCATE,BITE,1,2008,1,431
CONFISCATE,DANGER DOG,2,2008,1,432
CONFISCATE,NEGLECT,28,2008,1,433
CONFISCATE,POTDANGER,1,2008,1,434
CONFISCATE,UNPERMITED,2,2008,1,435
EUTH REQ,FIELD OWN,6,2008,1,436
EUTH REQ,OTC OWNED,34,2008,1,437
INVESTIGAT,,2,2008,1,438
INVESTIGAT,POTDANGER,1,2008,1,439
OUTSURGERY,,65,2008,1,440
OWNER SUR,FIELD,54,2008,1,441
OWNER SUR,OTC,154,2008,1,442
QUARANTINE,MAS,1,2008,1,443
QUARANTINE,OWNER,3,2008,1,444
QUARANTINE,STRAY,7,2008,1,445
RETURN,,1,2008,1,446
RETURN,FIELD,3,2008,1,447
RETURN,OTC,14,2008,1,448
STRAY,FIELD,324,2008,1,449
STRAY,OTC,204,2008,1,450
CONFISCATE,ABANDONED,3,2008,2,451
CONFISCATE,CRUELTY,1,2008,2,452
EUTH REQ,OTC OWNED,43,2008,4,453
CONFISCATE,NEGLECT,26,2008,2,454
CONFISCATE,POLICE,4,2008,2,455
CONFISCATE,POTDANGER,3,2008,2,456
CONFISCATE,UNPERMITED,1,2008,2,457
EUTH REQ,FIELD OWN,4,2008,2,458
EUTH REQ,OTC OWNED,35,2008,2,459
OUTSURGERY,,72,2008,2,460
OUTSURGERY, ,1,2008,2,461
OWNER SUR,,2,2008,2,462
OWNER SUR,FIELD,49,2008,2,463
OWNER SUR,OTC,224,2008,2,464
QUARANTINE,MAS,4,2008,2,465
QUARANTINE,OWNER,2,2008,2,466
QUARANTINE,STRAY,4,2008,2,467
RETURN,FIELD,2,2008,2,468
RETURN,OTC,19,2008,2,469
STRAY,,1,2008,2,470
STRAY,FIELD,299,2008,2,471
STRAY,OTC,193,2008,2,472
CONFISCATE,ABANDONED,1,2008,3,473
CONFISCATE,NEGLECT,13,2008,3,474
CONFISCATE,POLICE,1,2008,3,475
CONFISCATE,POTDANGER,1,2008,3,476
CONFISCATE,UNPERMITED,4,2008,3,477
EUTH REQ,FIELD OWN,3,2008,3,478
EUTH REQ,OTC OWNED,54,2008,3,479
INVESTIGAT,POTDANGER,2,2008,3,480
OUTSURGERY,,84,2008,3,481
OWNER SUR,FIELD,35,2008,3,482
OWNER SUR,OTC,218,2008,3,483
QUARANTINE,MAS,7,2008,3,484
QUARANTINE,OWNER,1,2008,3,485
QUARANTINE,STRAY,2,2008,3,486
RETURN,,2,2008,3,487
RETURN,FIELD,2,2008,3,488
RETURN,OTC,21,2008,3,489
STRAY,FIELD,332,2008,3,490
STRAY,OTC,200,2008,3,491
TRANSFER,AN CONTROL,1,2008,3,492
CONFISCATE,ABANDONED,4,2008,4,493
CONFISCATE,DANGER DOG,1,2008,4,494
CONFISCATE,EVICTION,2,2008,4,495
CONFISCATE,NEGLECT,19,2008,4,496
CONFISCATE,POLICE,2,2008,4,497
CONFISCATE,POTDANGER,3,2008,4,498
CONFISCATE,UNPERMITED,2,2008,4,499
EUTH REQ,,2,2008,4,500
EUTH REQ,FIELD OWN,6,2008,4,501
CONFISCATE,NEGLECT,133,2007,9,502
CONFISCATE,UNPERMITED,45,2008,8,503
OWNER SUR,FIELD,50,2008,10,504
EUTH REQ,,3,2008,8,505
INVESTIGAT,POTDANGER,4,2008,4,506
OWNER SUR,OTC,272,2008,10,507
EUTH REQ,FIELD OWN,5,2008,8,508
CONFISCATE,POLICE,3,2007,9,509
MED OBSERV,,2,2008,4,510
QUARANTINE,MAS,8,2008,10,511
EUTH REQ,OTC,9,2008,8,512
CONFISCATE,POTDANGER,1,2007,9,513
OUTSURGERY,,75,2008,4,514
QUARANTINE,STRAY,1,2008,10,515
EUTH REQ,OTC OWNED,59,2008,8,516
CONFISCATE,UNPERMITED,40,2007,9,517
OWNER SUR,FIELD,41,2008,4,518
RETURN,OTC,22,2008,10,519
INVESTIGAT,POTDANGER,1,2008,8,520
EUTH REQ,FIELD OWN,6,2007,9,521
OWNER SUR,OTC,207,2008,4,522
STRAY,FIELD,443,2008,10,523
KHS,,6,2008,8,524
EUTH REQ,OTC OWNED,45,2007,9,525
QUARANTINE,,1,2008,4,526
STRAY,OTC,430,2008,10,527
OUTSURGERY,,64,2008,8,528
INVESTIGAT,POTDANGER,1,2007,9,529
QUARANTINE,MAS,13,2008,4,530
CONFISCATE,,1,2008,11,531
OUTSURGERY,OTC,1,2008,8,532
OUTSURGERY,,67,2007,9,533
QUARANTINE,OWNER,3,2008,4,534
CONFISCATE,ABANDONED,5,2008,11,535
OWNER SUR,,2,2008,8,536
OWNER SUR,FIELD,44,2007,9,537
QUARANTINE,STRAY,6,2008,4,538
CONFISCATE,CHAINING,14,2008,11,539
OWNER SUR,FIELD,103,2008,8,540
OWNER SUR,OTC,319,2007,9,541
RETURN,,1,2008,4,542
CONFISCATE,CRUELTY,6,2008,11,543
OWNER SUR,OTC,355,2008,8,544
QUARANTINE,,1,2007,9,545
RETURN,OTC,14,2008,4,546
CONFISCATE,NEGLECT,33,2008,11,547
QUARANTINE,MAS,8,2008,8,548
QUARANTINE,MAS,7,2007,9,549
STRAY,,1,2008,4,550
CONFISCATE,UNPERMITED,66,2008,11,551
QUARANTINE,OWNER,1,2008,8,552
QUARANTINE,OWNER,2,2007,9,553
STRAY,FIELD,438,2008,4,554
EUTH REQ,FIELD OWN,7,2008,11,555
QUARANTINE,STRAY,4,2008,8,556
QUARANTINE,STRAY,8,2007,9,557
STRAY,OTC,306,2008,4,558
EUTH REQ,OTC OWNED,46,2008,11,559
RETURN,,1,2008,8,560
RETURN,FIELD,4,2007,9,561
CONFISCATE,ABANDONED,1,2008,5,562
OUTSURGERY,,88,2008,11,563
RETURN,OTC,18,2008,8,564
RETURN,OTC,2,2007,9,565
CONFISCATE,BITE,1,2008,5,566
OWNER SUR,EUTH REQ,1,2008,11,567
OWNER SUR,FIELD,32,2008,11,568
OWNER SUR,OTC,283,2008,11,569
QUARANTINE,MAS,9,2008,11,570
QUARANTINE,OWNER,2,2008,11,571
QUARANTINE,STRAY,3,2008,11,572
RETURN,FIELD,1,2008,11,573
RETURN,OTC,13,2008,11,574
STRAY,FIELD,345,2008,11,575
STRAY,OTC,373,2008,11,576
CONFISCATE,ABANDONED,5,2008,12,577
CONFISCATE,CHAINING,15,2008,12,578
CONFISCATE,DANGER DOG,1,2008,12,579
CONFISCATE,NEGLECT,16,2008,12,580
CONFISCATE,POLICE,3,2008,12,581
CONFISCATE,UNPERMITED,59,2008,12,582
EUTH REQ,FIELD OWN,2,2008,12,583
EUTH REQ,OTC OWNED,41,2008,12,584
OUTSURGERY,,103,2008,12,585
OWNER SUR,FIELD,42,2008,12,586
OWNER SUR,OTC,202,2008,12,587
QUARANTINE,MAS,5,2008,12,588
QUARANTINE,OWNER,1,2008,12,589
QUARANTINE,STRAY,3,2008,12,590
RETURN,OTC,12,2008,12,591
STRAY,FIELD,316,2008,12,592
STRAY,OTC,230,2008,12,593
CONFISCATE,,5,2009,1,594
CONFISCATE,ABANDONED,6,2009,1,595
CONFISCATE,CHAINING,24,2009,1,596
CONFISCATE,NEGLECT,23,2009,1,597
CONFISCATE,UNPERMITED,24,2009,1,598
EUTH REQ,FIELD OWN,4,2009,1,599
EUTH REQ,OTC OWNED,41,2009,1,600
CONFISCATE,CRUELTY,2,2008,5,601
CONFISCATE,NEGLECT,21,2008,5,602
CONFISCATE,POTDANGER,3,2008,5,603
STRAY,,1,2007,9,604
CONFISCATE,UNPERMITED,4,2008,5,605
STRAY,FIELD,383,2007,9,606
STRAY,,1,2008,8,607
EUTH REQ,FIELD OWN,3,2008,5,608
STRAY,OTC,321,2007,9,609
STRAY,FIELD,487,2008,8,610
EUTH REQ,OTC OWNED,52,2008,5,611
CONFISCATE,,1,2007,10,612
STRAY,OTC,459,2008,8,613
INVESTIGAT,POTDANGER,2,2008,5,614
CONFISCATE,ABANDONED,9,2007,10,615
STRAY,STRAY,4,2008,8,616
OUTSURGERY,,79,2008,5,617
CONFISCATE,NEGLECT,13,2007,10,618
CONFISCATE,BITE,2,2008,9,619
OWNER SUR,FIELD,73,2008,5,620
CONFISCATE,POTDANGER,4,2007,10,621
CONFISCATE,CHAINING,12,2008,9,622
OWNER SUR,OTC,270,2008,5,623
CONFISCATE,UNPERMITED,20,2007,10,624
CONFISCATE,DANGER DOG,1,2008,9,625
QUARANTINE,MAS,15,2008,5,626
EUTH REQ,,10,2007,10,627
CONFISCATE,NEGLECT,12,2008,9,628
QUARANTINE,OWNER,10,2008,5,629
EUTH REQ,FIELD OWN,3,2007,10,630
CONFISCATE,POTDANGER,1,2008,9,631
QUARANTINE,STRAY,6,2008,5,632
EUTH REQ,OTC OWNED,67,2007,10,633
CONFISCATE,UNPERMITED,8,2008,9,634
RETURN,,1,2008,5,635
OUTSURGERY,,39,2007,10,636
EUTH REQ,OTC OWNED,58,2008,9,637
RETURN,FIELD,5,2008,5,638
OWNER SUR,,1,2007,10,639
OUTSURGERY,,49,2008,9,640
RETURN,OTC,9,2008,5,641
OWNER SUR,FIELD,58,2007,10,642
OWNER SUR,FIELD,110,2008,9,643
STRAY,FIELD,517,2008,5,644
OWNER SUR,OTC,232,2007,10,645
OWNER SUR,OTC,279,2008,9,646
STRAY,OTC,332,2008,5,647
QUARANTINE,MAS,3,2007,10,648
QUARANTINE,MAS,10,2008,9,649
TRANSFER,AN CONTROL,2,2008,5,650
QUARANTINE,OWNER,1,2007,10,651
