,Date,Inflation Rate
190,2015-11-01,0.5
191,2015-12-01,0.7
192,2016-01-01,1.4
193,2016-02-01,1.0
194,2016-03-01,0.9
195,2016-04-01,1.1
196,2016-05-01,1.0
197,2016-06-01,1.0
198,2016-07-01,0.8
199,2016-08-01,1.1
200,2016-09-01,1.5
201,2016-10-01,1.6
202,2016-11-01,1.7
203,2016-12-01,2.1
204,2017-01-01,2.5
205,2017-02-01,2.7
206,2017-03-01,2.4
207,2017-04-01,2.2
208,2017-05-01,1.9
209,2017-06-01,1.6
210,2017-07-01,1.7
211,2017-08-01,1.9
212,2017-09-01,2.2
213,2017-10-01,2.0
214,2017-11-01,2.2
215,2017-12-01,2.1
216,2018-01-01,2.1
217,2018-02-01,2.2
218,2018-03-01,2.4
219,2018-04-01,2.5
220,2018-05-01,2.8
221,2018-06-01,2.9
222,2018-07-01,2.9
223,2018-08-01,2.7
224,2018-09-01,2.3
225,2018-10-01,2.5
226,2018-11-01,2.2
227,2018-12-01,1.9
228,2019-01-01,1.6
229,2019-02-01,1.5
230,2019-03-01,1.9
231,2019-04-01,2.0
232,2019-05-01,1.8
233,2019-06-01,1.6
234,2019-07-01,1.8
235,2019-08-01,1.7
236,2019-09-01,1.7
237,2019-10-01,1.8
238,2019-11-01,2.1
239,2019-12-01,2.3
240,2020-01-01,2.5
241,2020-02-01,2.3
242,2020-03-01,1.5
243,2020-04-01,0.3
244,2020-05-01,0.1
245,2020-06-01,0.6
246,2020-07-01,1.0
247,2020-08-01,1.3
248,2020-09-01,1.4
249,2020-10-01,1.2
250,2020-11-01,1.2
251,2020-12-01,1.4
252,2021-01-01,1.4
253,2021-02-01,1.7
254,2021-03-01,2.6
255,2021-04-01,4.2
256,2021-05-01,5.0
257,2021-06-01,5.4
258,2021-07-01,5.4
259,2021-08-01,5.3
260,2021-09-01,5.4
261,2021-10-01,6.2
262,2021-11-01,6.8
263,2021-12-01,7.0
264,2022-01-01,7.5
265,2022-02-01,7.9
266,2022-03-01,8.5
267,2022-04-01,8.3
268,2022-05-01,8.6
269,2022-06-01,9.1
270,2022-07-01,8.5
271,2022-08-01,8.3
272,2022-09-01,8.2
273,2022-10-01,7.7
274,2022-11-01,7.1
275,2022-12-01,6.5
276,2023-01-01,6.4
277,2023-02-01,6.0
278,2023-03-01,5.0
279,2023-04-01,4.9
280,2023-05-01,4.0
281,2023-06-01,3.0
282,2023-07-01,3.2
283,2023-08-01,3.7
284,2023-09-01,3.7
285,2023-10-01,3.2
286,2023-11-01,3.1
287,2023-12-01,3.4
288,2024-01-01,3.1
289,2024-02-01,3.2
290,2024-03-01,3.5
291,2024-04-01,3.4
